index,degree,closeness,betweenness,eigenvector,entropyK,meanK
长阳,0.004830917874396135,0.056511056511056514,0.08337719759974735,7.191860900321455e-07,56.34698653590973,0.004739439907007617
德茂,0.004830917874396135,0.053158705701078585,0.004830917874396136,1.6641151173202733e-07,66.893869839221,0.005143724668258884
东管头,0.004830917874396135,0.07624309392265194,0.009316945768797595,0.0007068222335547015,109.83320394754945,0.01743317105549064
东四,0.00966183574879227,0.09954315941332052,0.12869046799472114,0.1738150119648993,139.63528419652738,0.03708556681190864
南锣鼓巷,0.014492753623188403,0.10275502606105734,0.2585002181653765,0.3263901794622863,130.27500862408283,0.02884022395344447
沙河高教园,0.004830917874396135,0.054252391560739084,0.028634593115064742,9.554117525610099e-07,54.61213269786382,0.004414725055497996
九棵树,0.004830917874396135,0.046896239238785685,0.019656669201358112,3.417800387443834e-08,117.63075789950159,0.01809112652872255
大钟寺,0.00966183574879227,0.08799149840595112,0.1045479959675472,0.08755116441700897,114.92218176964627,0.0201850748379319
大瓦窑,0.004830917874396135,0.05932081960166213,0.009638441473371466,2.3532036078330286e-05,61.536589912226134,0.005355360581060115
陶然亭,0.004830917874396135,0.08436926839209292,0.014700909717467337,0.004660731782867614,125.01765656740129,0.02717397142936154
龙泽,0.004830917874396135,0.07033639143730888,0.016051285326438073,0.00014661188568651382,87.31602881700256,0.008929006215728823
平西府,0.004830917874396135,0.0640074211502783,0.023032806015225216,2.924979530844256e-05,75.10094021049422,0.006878194790405279
磁器口,0.00966183574879227,0.0872681281618887,0.03283123673130426,0.010854662329494624,126.17063291254625,0.022194290489996767
惠新西街南口,0.00966183574879227,0.0828994793752503,0.034459832295503895,0.008243032191016202,110.95159818621518,0.018159854393492266
郝家府,0.004830917874396135,0.04323308270676692,0.009638441473371466,4.181800503211833e-09,79.02757420334595,0.006035872187655539
北沙滩,0.004830917874396135,0.07639785938365012,0.014109174400608588,0.0021245879557452675,93.0187518026533,0.011103520958705699
西单,0.00966183574879227,0.0892049127343245,0.0125579168885339,0.04935951609821748,132.34452400940773,0.02990844857234685
农业展览馆,0.004830917874396135,0.08630393996247655,0.010699289221589824,0.008481651537246232,124.4607805214315,0.021379335495177672
常营,0.004830917874396135,0.0612879348630644,0.04263606695441626,2.694475507566716e-05,79.16718675434251,0.006385795790082027
永定门外,0.00966183574879227,0.08204518430439953,0.033964536357167036,0.001613794194623709,110.9545603048199,0.01767756496073938
呼家楼,0.00966183574879227,0.09124972448754684,0.06891620130622007,0.03027579566122245,129.39476070922072,0.023558419986615207
马甸桥,0.004830917874396135,0.09039301310043668,0.019850236708727417,0.03812745999833912,125.61803769152337,0.023499648897050626
北邵洼,0.004830917874396135,0.04905794525417703,0.019183305845059714,7.79720719405751e-08,54.92538662375965,0.0044248131420107075
太阳宫,0.00966183574879227,0.08567880794701986,0.10757753114544658,0.010541482304444422,116.9777531390512,0.01980132369434854
大屯路东,0.00966183574879227,0.07625713759440045,0.020004588809126873,0.00184992819427045,91.36821535921602,0.01024633730619375
颐和园西门,0.004830917874396135,0.06335118592195868,0.019183305845059714,0.0004951431799790968,51.207190190909145,0.004508108341951611
蓟门桥,0.00966183574879227,0.09189789123196447,0.053174988067304564,0.10458702676106628,117.9189309151784,0.024092081905723813
慈寿寺,0.00966183574879227,0.07947782683816472,0.07188232745979768,0.010036632574023869,97.19900833024828,0.012658324510105668
星火站,0.004830917874396135,0.07379679144385026,0.009832518394513566,0.0010670661759677835,99.78005391268007,0.011890647870552577
达官营,0.00966183574879227,0.08596345514950167,0.05039007711083806,0.009146020848065,115.41322461544964,0.02174521398357159
景风门,0.00966183574879227,0.09185711116041713,0.1920667598709105,0.014509376759336768,116.52526973276078,0.023616103373536413
光熙门,0.00966183574879227,0.08836712913553896,0.04421338280418465,0.013089212796117576,122.68826087269312,0.02326580256464234
广阳城,0.004830917874396135,0.05119960425426663,0.07448737293984163,5.869367949400422e-08,56.647120188889566,0.004692265231848546
丰台东大街,0.004830917874396135,0.07068465084514257,0.02692108677599409,0.00034980084093710537,83.23473468456771,0.009064497840903346
梨园,0.004830917874396135,0.04493650276782807,0.01515327118285324,9.764887379731801e-09,116.79094535310065,0.01857954619759467
北京西站,0.007246376811594201,0.08119239066483623,0.01668285396538501,0.007545148787583206,112.28312171807114,0.019402977793611317
远大路,0.004830917874396135,0.07180020811654526,0.004830917874396136,0.0031480677695854852,53.81178852978263,0.004915335787969167
国贸,0.00966183574879227,0.08702964052974564,0.07920680976829096,0.01987376210712144,136.91249273454534,0.023215633246618426
北京南站,0.00966183574879227,0.08814136682989142,0.044040072945674254,0.006210713730726214,113.95822269486892,0.020300835482016225
丰台科技园,0.004830917874396135,0.06460674157303371,0.020144643462887503,3.23441651624805e-05,75.10314837714456,0.007033177549322307
北岗子,0.00966183574879227,0.07330028328611897,0.07164718922334809,0.0005497638945733043,99.40079752404169,0.00988848571866423
王府井,0.00966183574879227,0.08970747562296857,0.016420692072764597,0.02851831502806622,135.23030509541238,0.03314447865122194
雍和宫,0.00966183574879227,0.09161318875857492,0.013051580718144893,0.04009749589282639,125.07842168817955,0.024437438969457183
永安里,0.00966183574879227,0.09280430396772024,0.16958011166590342,0.039909659524316375,143.81812652060844,0.033684346426912926
北太平庄,0.00966183574879227,0.09563409563409564,0.08027385429268419,0.11765309170827905,120.00414113378254,0.023701523059286873
农大南路,0.004830917874396135,0.06299452221545952,0.03799230328338656,0.0005267378473320888,41.50849908307281,0.003869247665479121
大葆台,0.004830917874396135,0.06297535746881655,0.09217344515796984,8.812339536155769e-06,55.98971744411506,0.005068988155669084
展览路,0.004830917874396135,0.09249329758713136,0.027192996477355427,0.08019146073110668,130.94718871509846,0.03145219320532322
海淀五路居,0.004830917874396135,0.07402109780082246,0.04079805367936423,0.0029526434074534065,101.98154638029065,0.012422739375195613
石榴庄,0.004830917874396135,0.07632743362831858,0.047871192862329284,0.0001514255856387172,99.98745191669755,0.010768528514210098
旧宫,0.004830917874396135,0.06252831898504757,0.018868457888354725,6.181335213315631e-06,87.34124222001691,0.006674739867094483
湾子,0.004830917874396135,0.08108108108108109,0.004418892518017286,0.004408497528430477,120.5576409049798,0.022362216756297973
皂君庙,0.004830917874396135,0.08708456037021456,0.01465234873243612,0.06130781127422859,119.72479301927709,0.0246614694787328
马坊,0.004830917874396135,0.054131799163179915,0.019183305845059714,1.1412558766636529e-06,67.81599291117155,0.005184013180035167
西土城,0.00966183574879227,0.08776764892940428,0.05454686668708703,0.057903489225511036,109.30707717919157,0.017919679850570625
天通苑南,0.004830917874396135,0.06857710783501739,0.009638441473371466,0.00025707758171318243,56.17932056685524,0.00477580540774654
天通苑东,0.004830917874396135,0.0660287081339713,0.009638441473371466,0.00019407063317859505,59.75952050710923,0.005118644185254434
